date_nr,xau,xag,xpt,cad,eur,jpy,gbp,chf,aud,hkd,nzd,krw,mxn,low,high,open,close,volume,xau_lag,xag_lag,xpt_lag,cad_lag,eur_lag,jpy_lag,gbp_lag,chf_lag,aud_lag,hkd_lag,nzd_lag,krw_lag,mxn_lag,low_lag,high_lag,open_lag,close_lag,volume_lag,xau_prc,xag_prc,xpt_prc,cad_prc,eur_prc,jpy_prc,gbp_prc,chf_prc,aud_prc,hkd_prc,nzd_prc,krw_prc,mxn_prc,low_prc,high_prc,open_prc,close_prc,volume_prc
20150102,1172,15.71,1193,0.85266,1.2013,0.0083186,1.5361,0.99949,0.81173,0.12892,0.77098,0.00090467,0.067539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20150105,1200,15.88,1206,0.84839,1.1918,0.0083575,1.5234,0.99202,0.80945,0.12893,0.77017,0.00090184,0.066794,,,,,,1172,15.71,1193,0.85266,1.2013,0.0083186,1.5361,0.99949,0.81173,0.12892,0.77098,0.00090467,0.067539,,,,,,2.3890784982935154,0.0,1.0896898575020955,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,,,
20150106,1210.2,16.29,1213,0.84717,1.1936,0.008459,1.5175,0.9939,0.81176,0.12898,0.78059,0.00090986,0.067197,,,,,,1200,15.88,1206,0.84839,1.1918,0.0083575,1.5234,0.99202,0.80945,0.12893,0.77017,0.00090184,0.066794,,,,,,0.8333333333333334,0.0,0.5804311774461027,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,,,
20150107,1210.5,16.33,1218,0.84381,1.182,0.0083664,1.5073,0.98414,0.80491,0.12895,0.77251,0.0009071,0.067615,,,,,,1210.2,16.29,1213,0.84717,1.1936,0.008459,1.5175,0.9939,0.81176,0.12898,0.78059,0.00090986,0.067197,,,,,,0.08264462809917356,0.0,0.4122011541632316,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,,,
20150108,1215.5,16.37,1221,0.8466,1.181,0.0083669,1.5117,0.98332,0.81257,0.12894,0.78242,0.00091179,0.068439,264.81,360,360,288.99,10.349999999999826,1210.5,16.33,1218,0.84381,1.182,0.0083664,1.5073,0.98414,0.80491,0.12895,0.77251,0.0009071,0.067615,,,,,,0.41288191577208916,0.0,0.24630541871921183,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,,,
20150109,1217.7,16.24,1225,0.84338,1.1829,0.0084271,1.5151,0.9849,0.81901,0.12898,0.78283,0.00092013,0.068601,,,,,,1215.5,16.37,1221,0.8466,1.181,0.0083669,1.5117,0.98332,0.81257,0.12894,0.78242,0.00091179,0.068439,264.81,360,360,288.99,10.349999999999826,0.1644736842105263,0.0,0.32760032760032765,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,,,
20150112,1226.5,16.52,1233,0.83822,1.1832,0.0084493,1.5167,0.98516,0.81643,0.12898,0.77754,0.00092205,0.068307,,,,,,1217.7,16.24,1225,0.84338,1.1829,0.0084271,1.5151,0.9849,0.81901,0.12898,0.78283,0.00092013,0.068601,,,,,,0.7389162561576355,6.25,0.653061224489796,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,,,
20150113,1231.5,17,1244,0.83696,1.1778,0.0084617,1.5165,0.98075,0.81628,0.12898,0.7731,0.00092484,0.068614,260,260,260,260,1,1226.5,16.52,1233,0.83822,1.1832,0.0084493,1.5167,0.98516,0.81643,0.12898,0.77754,0.00092205,0.068307,,,,,,0.40749796251018744,0.0,0.8921330089213302,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,,,
20150114,1235,16.64,1242,0.83626,1.1806,0.0085633,1.5232,0.98302,0.81619,0.12896,0.77454,0.0009249,0.068607,109.87,221,200,120,11.304637779999803,1231.5,17,1244,0.83696,1.1778,0.0084617,1.5165,0.98075,0.81628,0.12898,0.7731,0.00092484,0.068614,260,260,260,260,1,0.2435064935064935,0.0,-0.1607717041800643,0.0,0.0,,0.0,0.0,0.0,,0.0,,,-57.692307692307686,-15.0,-23.076923076923077,-53.84615384615385,1000.0
20150115,1259,17.12,1258,0.83808,1.1596,0.0085484,1.5161,1.11741,0.82107,0.12897,0.77892,0.00092692,0.068539,150,224,191.99,204.22,2.9773207600000005,1235,16.64,1242,0.83626,1.1806,0.0085633,1.5232,0.98302,0.81619,0.12896,0.77454,0.0009249,0.068607,109.87,221,200,120,11.304637779999803,1.9433198380566803,0.0,1.288244766505636,0.0,0.0,,0.0,0.0,0.0,,0.0,,,36.36363636363637,1.3574660633484164,-4.0,70.0,-72.72727272727273
20150116,1277.5,16.92,1262,0.83431,1.1517,0.0085099,1.5131,1.17779,0.81937,0.12896,0.77774,0.00092775,0.06843,189,225.5,210.98,199.46,4.689999999999945,1259,17.12,1258,0.83808,1.1596,0.0085484,1.5161,1.11741,0.82107,0.12897,0.77892,0.00092692,0.068539,150,224,191.99,204.22,2.9773207600000005,1.5091342335186657,0.0,0.3179650238473768,0.0,0.0,,0.0,0.0,0.0,,0.0,,,26.0,0.8928571428571428,9.895833333333332,-2.450980392156863,66.66666666666666
20150119,1273.7,17.65,1264,0.8357,1.1622,0.0085074,1.5134,1.14182,0.82108,0.12898,0.77745,0.00092679,0.06826,210,225.51,210,225.51,0.41000000000000003,1277.5,16.92,1262,0.83431,1.1517,0.0085099,1.5131,1.17779,0.81937,0.12896,0.77774,0.00092775,0.06843,189,225.5,210.98,199.46,4.689999999999945,-0.3129890453834116,5.88235294117647,0.15847860538827258,0.0,0.0,,0.0,0.0,0.0,,0.0,,,11.11111111111111,0.0,-0.47393364928909953,13.5678391959799,-100.0
20150120,1288.8,17.8,1267,0.82747,1.1558,0.0084402,1.516,1.14249,0.81754,0.129,0.76922,0.00091932,0.068275,208,218,215,218,0.04,1273.7,17.65,1264,0.8357,1.1622,0.0085074,1.5134,1.14182,0.82108,0.12898,0.77745,0.00092679,0.06826,210,225.51,210,225.51,0.41000000000000003,1.1773940345368918,0.0,0.23734177215189875,0.0,0.0,,0.0,0.0,0.0,,0.0,,,-0.9523809523809524,-3.5398230088495577,2.380952380952381,-3.5398230088495577,
20150121,1293.5,18.22,1285,0.80815,1.1583,0.0084855,1.5116,1.163,0.81009,0.12902,0.75763,0.0009229,0.067901,219,225.51,219,225.51,0.13770722000000002,1288.8,17.8,1267,0.82747,1.1558,0.0084402,1.516,1.14249,0.81754,0.129,0.76922,0.00091932,0.068275,208,218,215,218,0.04,0.3878975950349108,0.0,1.420678768745067,0.0,0.0,,0.0,0.0,0.0,,0.0,,,5.288461538461538,3.669724770642202,1.8604651162790697,3.669724770642202,
20150122,1295.8,18.08,1279,0.80834,1.1413,0.0084795,1.5051,1.15197,0.80972,0.129,0.75507,0.00092393,0.068475,216.59,257.73,245.5,226.32,4.359999999999971,1293.5,18.22,1285,0.80815,1.1583,0.0084855,1.5116,1.163,0.81009,0.12902,0.75763,0.0009229,0.067901,219,225.51,219,225.51,0.13770722000000002,0.1545595054095827,0.0,-0.4669260700389105,0.0,0.0,,0.0,0.0,0.0,,0.0,,,-0.91324200913242,14.15929203539823,12.32876712328767,0.0,
